date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,sp500tr_return,source_url
2022-06,Jun 2022,2022-05-31,8712.599609375,2022-06-30,7993.43017578125,-0.0825436110733131,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-07,Jul 2022,2022-06-30,7993.43017578125,2022-07-29,8730.4599609375,0.0922044440182046,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-08,Aug 2022,2022-07-29,8730.4599609375,2022-08-31,8374.419921875,-0.04078136096557594,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-09,Sept 2022,2022-08-31,8374.419921875,2022-09-30,7603.14013671875,-0.09209948776769283,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-10,Oct 2022,2022-09-30,7603.14013671875,2022-10-31,8218.7001953125,0.08096129329787738,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-11,Nov 2022,2022-10-31,8218.7001953125,2022-11-30,8678.0,0.05588472553719126,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-12,Dec 2022,2022-11-30,8678.0,2022-12-30,8178.02001953125,-0.05761465550458056,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-01,Jan 2023,2022-12-30,8178.02001953125,2023-01-31,8691.8798828125,0.06283426331239328,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-02,Feb 2023,2023-01-31,8691.8798828125,2023-02-28,8479.7998046875,-0.024399793943813197,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-03,Mar 2023,2023-02-28,8479.7998046875,2023-03-31,8791.1298828125,0.03671431935844782,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-04,Apr 2023,2023-03-31,8791.1298828125,2023-04-28,8928.349609375,0.015608883999174816,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
